,word,link,sentence,synonyms,synset
3211,stick,sign/stick/4594/1,,[],
3212,stick+around,sign/stick+around/4595/1,,['STAY'],
3213,stick+shift,sign/stick+shift/2635/1,,"['GEAR (as in ""a shift gear in a vehicle"")', 'SHIFT GEARS']",
3214,stick+together,sign/stick+together/13114/1,,"['ACCOMPANY', 'ALL TOGETHER', 'TOGETHER']",
3215,stick+up,sign/stick+up/9778/1,,"['HOLD UP (as in ""to rob"")', 'ROB (as in ""a stick up"")', 'ROBBERY (as in ""a stick up"")']",
3216,sticker,sign/sticker/2636/1,,[],
3217,stickers,sign/stickers/11361/1,,[],
3218,sticky,sign/sticky/2637/1,,"['HUMID', 'SLIME', 'SLIMY']",
3219,stiff,sign/stiff/10044/1,,[],
3220,still,sign/still/5805/1,,"['DOCILE', 'QUIET (as in ""silence or calm"")', 'SERENE', 'SILENCE', 'SILENT', 'SOLEMN', 'TRANQUIL']",
3221,still,sign/still/2638/1,,['YET'],
3222,still+exists,sign/still+exists/12065/1,,"['STILL STANDING (as in ""still exists"")']",
3223,still+standing,sign/still+standing/12064/1,,['STILL EXISTS'],
3224,stimulant,sign/stimulant/7035/1,,['PEP'],
3225,stimulate,sign/stimulate/5580/1,,"['AROUSE (as in ""to excite or stimulate"")', 'CLIMAX (as in ""culmination"")', 'ENTHUSIASTIC', 'EXCITE', 'LIVELY (as in ""full of energy"")', 'REVIVAL', 'SPRIGHTLY (as in ""lively"")', 'THRILLER', 'ZEALOUS']",
3226,stimulate,sign/stimulate/7036/1,,"['FILLED WITH', 'INSPIRATION', 'INSPIRATIONAL', 'INSPIRE', 'INSPIRED', 'REJUVENATE', 'REVIVAL', 'REVIVE', 'UPLIFT (as in ""an uplifting feeling"")']",
3227,sting,sign/sting/2639/1,,[],
3228,stingy,sign/stingy/9198/1,,"['GREED', 'GREEDY', 'MISER', 'MISERLY']",
3229,stink,sign/stink/4597/1,,"['BO (as in ""body odor"")', 'BODY ODOR', 'PHEW', 'PUTRID', 'SMELLY', 'STINKY']",
3230,stinky,sign/stinky/13120/1,,"['BO (as in ""body odor"")', 'BODY ODOR', 'PHEW', 'PUTRID', 'SMELLY', 'STINK']",
3231,stir,sign/stir/4598/1,,['MIX'],
3232,stitch,sign/stitch/2641/1,,"['STITCH (as in ""a running stitch"")']",
3233,stitch,sign/stitch/11498/1,,"['STITCH (as in ""sewing"")']",
3234,stitch,sign/stitch/14463/1,I cut myself and needed five stitches.,"['SEW (as in ""sew by hand"")', 'SUTURE']",Synset('stitch.n.02')
3235,stock,sign/stock/9489/1,,"['INVEST', 'INVESTMENT']",
3236,stock+market,sign/stock+market/7012/1,,[],
3237,stocking+hat,sign/stocking+hat/8456/1,,"['HAT (as in ""winter hat"")', 'WOOL HAT']",
3238,stockings,sign/stockings/4986/1,,"['HOSE (as in ""pantyhose or stockings"")', 'PANTYHOSE', 'TIGHTS (as in ""pantyhose or stockings"")']",
3239,stocks,sign/stocks/9491/1,,['INVESTMENTS'],
3240,stole,sign/stole/2643/1,,[],
3241,stole,sign/stole/11396/1,,"['ABDUCT', 'BANDIT', 'BURGLAR', 'BURGLARY', 'CROOK', 'EMBEZZLE', 'EMBEZZLING', 'KIDNAP', 'LOOT', 'PICKPOCKET', 'PICKPOCKETING', 'ROB (as in ""to take something illegally"")', 'ROBBER', 'ROBBERY (as in ""to take something illegally"")', 'ROBBING', 'RUSTLER', 'RUSTLING', 'STEAL (as in ""burglary"")', 'STEALING', 'STOLEN', 'THEFT', 'THIEF', 'THIEVERY', 'THIEVING']",
3242,stolen,sign/stolen/8338/1,,"['ABDUCT', 'BANDIT', 'BURGLAR', 'BURGLARY', 'CROOK', 'EMBEZZLE', 'EMBEZZLING', 'KIDNAP', 'LOOT', 'PICKPOCKET', 'PICKPOCKETING', 'ROB (as in ""to take something illegally"")', 'ROBBER', 'ROBBERY (as in ""to take something illegally"")', 'ROBBING', 'RUSTLER', 'RUSTLING', 'STEAL (as in ""burglary"")', 'STEALING', 'STOLE (as in ""to steal"")', 'THEFT', 'THIEF', 'THIEVERY', 'THIEVING']",
3243,stomach,sign/stomach/2644/1,,"['ABDOMEN', 'BELLY', 'TUMMY']",
3244,stomach+ache,sign/stomach+ache/2645/1,,"['AGGRAVATE', 'DISGUST', 'EWW', 'GROSS', 'NAUSEA', 'NAUSEOUS', 'REPUGNANT', 'REPULSE', 'SICK (as in ""disgusting"")', 'SICKENED', 'STOMACH CHURNING', 'TUMMY ACHE', 'UPSET STOMACH']",
3245,stomach+churning,sign/stomach+churning/11083/1,,"['AGGRAVATE', 'DISGUST', 'EWW', 'GROSS', 'NAUSEA', 'NAUSEOUS', 'REPUGNANT', 'REPULSE', 'SICK (as in ""disgusting"")', 'SICKENED', 'STOMACH ACHE', 'TUMMY ACHE', 'UPSET STOMACH']",
3246,stomach+hurts,sign/stomach+hurts/11084/1,,"['STOMACH ACHE', 'TUMMY ACHE', 'UPSET STOMACH']",
3247,stone,sign/stone/2369/1,,"['MARBLE (as in ""the stone"")', 'ROCK (as in ""a solid mineral material"")', 'ROCKY']",
3248,stoned,sign/stoned/11003/1,,[],
3249,stoned,sign/stoned/11002/1,,[],
3250,stool,sign/stool/7938/1,,"['BOWEL MOVEMENT', 'CRAP (as in ""bowel movement or excrement"")', 'DEFECATION', 'EXCREMENT', 'FECES', 'MANURE', 'POO', 'POOP']",
3251,stool,sign/stool/5448/1,,[],
3252,stop,sign/stop/10059/1,,"['HALT (as in ""to halt"")', 'HOLD YOUR HORSES']",
3253,stop,sign/stop/699/1,Cal Rodgers was a deaf pilot. He made the first transcontinental airplane flight after crashing several times along the way.,"['CEASE', 'CUT IT OUT', 'GET OVER IT', 'HALT (as in ""to stop"")', 'QUIT IT', 'REFRAIN', 'STOP IT']",Synset('stop.n.03')
3254,stop,sign/stop/699/1,Please stop beating around the bush and get to the point.,"['CEASE', 'CUT IT OUT', 'GET OVER IT', 'HALT (as in ""to stop"")', 'QUIT IT', 'REFRAIN', 'STOP IT']",Synset('stop_consonant.n.01')
3255,stop+drinking,sign/stop+drinking/10095/1,,['ON THE WAGON'],
3256,stop+getting+off+topic,sign/stop+getting+off+topic/13020/1,,"['DO NOT DEVIATE', 'GET TO THE POINT', 'STAY ON TOPIC']",
3257,stop+it,sign/stop+it/9192/1,,"['ACCOMPLISH', 'ALL DONE (as in ""finished"")', 'ALL GONE (as in ""finished, when signing with a child"")', 'ALREADY', 'COMPLETE (as in ""finished"")', 'DONE (as in ""finished"")', 'FINISH (as in ""a command - enough or quit"")', 'FINISH (as in ""done"")', 'GET OVER IT', 'QUIT IT']",
3258,stop+sign,sign/stop+sign/5642/1,I did not see the stop sign!,[],
3259,stoplight,sign/stoplight/2646/1,,"['SIGNAL (as in ""traffic signal"")', 'TRAFFIC LIGHT (as in ""a stoplight"")']",
3260,stopwatch,sign/stopwatch/2647/1,,[],
3261,store,sign/store/409/1,Do you want to walk to the store to buy ice cream?,"['DISTRIBUTE (as in ""sell"")', 'MARKET (as in ""A place where goods are bought and sold"")', 'MART', 'PEDDLE', 'RETAIL', 'SELL']",Synset('storehouse.n.01')
3262,store,sign/store/5130/1,,"['ECONOMIZE', 'HOARD (as in ""save"")', 'KEEP (as in ""as in preserve"")', 'PRESERVE', 'SAVE (as in ""to save something or keep secure"")', 'SAVINGS (as in ""a discount"")']",
3263,store+away,sign/store+away/8601/1,,"['BEAR IN MIND', 'KEEP IN MIND', 'REMEMBER']",
3264,storm,sign/storm/5053/1,,"['CLOUD', 'SCATTERED CLOUDS']",
3265,story,sign/story/4600/1,Stories about our ancestors are an important part of our heritage.,"['NARRATE', 'NARRATIVE', 'PARABLE', 'SAID', 'STORY TIME', 'STORYTELLING', 'TALE (as in ""a story"")']",Synset('story.n.02')
3266,story+about+myself,sign/story+about+myself/14653/1,I want to tell you a funny story about myself.,['AUTOBIOGRAPHY'],
3267,story+about+yourself,sign/story+about+yourself/14652/1,Tell me a funny story about yourself.,['AUTOBIOGRAPHY'],
3268,story+time,sign/story+time/5264/1,My library has ASL story time every month.,[],
3269,storyteller,sign/storyteller/12374/1,,[],
3270,storytelling,sign/storytelling/411/1,,"['NARRATE', 'NARRATIVE', 'PARABLE', 'SAID', 'STORY', 'STORY TIME', 'TALE (as in ""a story"")', 'TALL TALE']",
3271,stout,sign/stout/5535/1,,"['CHUBBY', 'FAT (as in ""overweight"")', 'FATSO', 'OBESE', 'OVERWEIGHT', 'PLUMP']",
3272,stove,sign/stove/5464/1,,[],
3273,straight,sign/straight/6673/1,,[],
3274,straight,sign/straight/9333/1,,[],
3275,straight,sign/straight/13639/1,,['SOBER'],
3276,strain,sign/strain/5145/1,,"['COLANDER', 'SIFTER', 'STRAINER']",
3277,strainer,sign/strainer/2649/1,,[],
3278,strand,sign/strand/7724/1,,"['CAPTIVE', 'CHOKE (as in ""something stuck in your throat"")', 'CONFINE', 'IMPASSE', 'PLUGGED (as in ""clogged"")', 'PLUGGED UP', 'STUCK', 'TRAP']",
3279,strange,sign/strange/4602/1,,"['BIZARRE', 'DEFORMITY', 'FREAK', 'MALFORMATION', 'ODD', 'PECULIAR', 'QUEER (as in ""odd or bizarre"")', 'STRANGER (as in ""more strange"")', 'UNUSUAL', 'WEIRD']",
3280,stranger,sign/stranger/2651/1,,[],
3281,stranger,sign/stranger/11217/1,,"['BIZARRE', 'DEFORMITY', 'FREAK', 'MALFORMATION', 'ODD', 'PECULIAR', 'QUEER (as in ""odd or bizarre"")', 'STRANGE', 'UNUSUAL', 'WEIRD']",
3282,strangle,sign/strangle/2652/1,,"['CHOKE (as in ""to strangle"")']",
3283,strap,sign/strap/10379/1,,[],
3284,strap,sign/strap/10378/1,,[],
3285,strap,sign/strap/10377/1,,"['OVERALLS', 'SUSPENDERS']",
3286,strap,sign/strap/10473/1,,"['BUCKLE UP', 'SAFETY BELT', 'SEATBELT']",
3287,strategy,sign/strategy/2653/1,,['PLAN'],
3288,straw,sign/straw/2654/1,Would you like a straw in your drink?,"['SIP', 'SUCK (as in ""to sip"")']",Synset('straw.s.01')
3289,straw,sign/straw/7650/1,,[],
3290,straw+hat,sign/straw+hat/5549/1,,"['BRIMMED HAT', 'FLOPPY HAT', 'HAT (as in ""straw hat"")', 'HAT (as in ""sun hat"")', 'SUN HAT']",
3291,strawberry,sign/strawberry/5388/1,My family goes to the strawberry farm every summer.,"['BERRIES', 'BERRY']",Synset('strawberry.n.03')
3292,stray,sign/stray/4603/1,,"['APOSTASY', 'ASTRAY', 'DEVIATE', 'WANDER']",
3293,stream,sign/stream/2655/1,,"['BROOK', 'CREEK']",
3294,streaming,sign/streaming/10449/1,,[],
3295,streaming,sign/streaming/10450/1,,[],
3296,street,sign/street/2656/1,I live on Oak street.,"['AISLE', 'AVENUE (as in ""a road or address"")', 'BOULEVARD', 'DRIVE (as in ""a street or address"")', 'LANE (as in ""a road or address"")', 'ROAD', 'ROUTE']",Synset('street.n.05')
3297,strength,sign/strength/4604/1,,"['ALMIGHTY (as in ""all powerful"")', 'FIERCE (as in ""confident or powerful"")', 'MIGHT (as in ""strength"")', 'MIGHTY', 'POWER (as in ""strong or with great force"")', 'POWERFUL', 'RESILIENT', 'STRONG']",
3298,strep+throat,sign/strep+throat/11994/1,,[],
3299,stress,sign/stress/4605/1,I have been under a lot of stress recently.,"['PRESSURE (as in ""stress"")']",Synset('try.v.07')
3300,stretch,sign/stretch/4606/1,,[],
3301,strict,sign/strict/4607/1,,"['FUNDAMENTALIST', 'STERN']",
3302,strike,sign/strike/4608/1,,"['AFFECT (as in ""to influence"")', 'ALL OF A SUDDEN', 'BEAT (as in ""to hit someone"")', 'BUMP (as in ""contact with something else; a collision"")', 'HIT (as in ""it just so happened"")', 'HIT (as in ""to hit someone"")', 'IMPACT', 'OUT OF THE BLUE', 'SUDDENLY']",
3303,strike,sign/strike/12182/1,,[],
3304,strike+one,sign/strike+one/12475/1,,['ONE STRIKE'],
3305,strike+out,sign/strike+out/12183/1,,[],
3306,strike+three,sign/strike+three/12911/1,,['THREE STRIKES'],
3307,strike+two,sign/strike+two/12477/1,,['TWO STRIKES'],
3308,string,sign/string/4995/1,,"['THREAD', 'WIRE']",
3309,strip,sign/strip/2659/1,,"['SLIDE (as in ""a picture slide"")']",
3310,stripe,sign/stripe/10135/1,,[],
3311,striped+shirt,sign/striped+shirt/10138/1,,"['SHIRT (as in ""a striped shirt"")']",
3312,stripes,sign/stripes/2660/1,,[],
3313,strive,sign/strive/4609/1,,"['ATTEMPT', 'EFFORT', 'TRIED', 'TRY (as in ""to put forth effort"")', 'TRYING']",
3314,stroke,sign/stroke/2661/1,,[],
3315,stroll,sign/stroll/12415/1,,"['JAUNT (as in ""to take a walk"")', 'WALK (as in ""to walk"")']",
3316,stroller,sign/stroller/5335/1,,"['CARRIAGE (as in ""baby carriage"")']",
3317,strong,sign/strong/700/1,My father's side of the family is hispanic.,"['ALMIGHTY (as in ""all powerful"")', 'FIERCE (as in ""confident or powerful"")', 'MIGHT (as in ""strength"")', 'MIGHTY', 'POWER (as in ""strong or with great force"")', 'POWERFUL', 'RESILIENT', 'STRENGTH']",Synset('strong.s.09')
3318,stronghold,sign/stronghold/11322/1,,[],
3319,structure,sign/structure/7837/1,,[],
3320,struggle,sign/struggle/4610/1,,"['AT ODDS', 'FIGHT (as in ""struggle"")']",
3321,stubborn,sign/stubborn/4611/1,,"['OBSTINATE', 'RELENTLESS']",
3322,stuck,sign/stuck/4612/1,The elevator got stuck on the 3rd floor.,"['CAPTIVE', 'CHOKE (as in ""something stuck in your throat"")', 'CONFINE', 'IMPASSE', 'PLUGGED (as in ""clogged"")', 'PLUGGED UP', 'STRAND', 'TRAP']",Synset('perplex.v.01')
3323,stuck+up,sign/stuck+up/9246/1,,"['ELITE', 'FUSSY', 'HAUGHTY', 'POSH', 'PUTTING ON AIRS', 'SNOB', 'SNOOTY', 'SNOTTY', 'SOPHISTICATED']",
3324,student,sign/student/701/1,"As a young girl, Alice Cogswell, inspired her neighbor, Thomas Hopkins Gallaudet, to devote his life to educating the deaf and to create the American School for the Deaf. She and six other deaf children were the first students to attend the American School for the Deaf in 1817.","['LEARNER', 'PUPIL (as in ""student"")']",Synset('student.n.01')
3325,student,sign/student/701/1,I always tell my students to reach for the stars.,"['LEARNER', 'PUPIL (as in ""student"")']",Synset('student.n.01')
3326,student,sign/student/701/1,My student ID is 23689.,"['LEARNER', 'PUPIL (as in ""student"")']",Synset('student.n.01')
3327,student,sign/student/701/1,My student Andre loves french fries.,"['LEARNER', 'PUPIL (as in ""student"")']",Synset('student.n.01')
3328,study,sign/study/8450/1,I have to study to pass the test.,[],Synset('survey.n.01')
3329,study,sign/study/8461/1,,"['CRAM (as in ""to study a lot"")']",
3330,stuff,sign/stuff/6204/1,,"['EQUIPMENT', 'GEAR (as in ""equipment"")', 'MATERIAL (as in ""equipment"")', 'MATTER (as in ""stuff"")', 'MERCHANDISE', 'OBJECTS (as in ""multiple things"")', 'RESOURCE', 'SUBSTANCE', 'SUPPLY (as in ""things or items"")', 'THINGS']",
3331,stuffing,sign/stuffing/14144/1,I don't like to eat stuffing.,[],Synset('stuff.n.05')
3332,stumble,sign/stumble/2664/1,,"['FALL (as in ""fall over"")', 'FALL DOWN', 'KEEL (as in ""to fall over"")', 'SLIP (as in ""to fall"")']",
3333,stun,sign/stun/4613/1,,"['AGHAST', 'DISBELIEF', 'DUMBFOUNDED', 'SHOCK', 'STUNNED']",
3334,stunned,sign/stunned/4614/1,,"['AGHAST', 'DISBELIEF', 'DUMBFOUNDED', 'SHOCK', 'STUN']",
3335,stunt,sign/stunt/13149/1,"Did you see the movie about the life of Kitty O’Neil, a deaf stuntwoman and racer?",[],Synset('stunt.v.02')
3336,stunt,sign/stunt/13149/1,Kitty O'Neil was a well‑known deaf stuntwoman and race car driver.,[],Synset('stunt.v.02')
3337,stupendous,sign/stupendous/10254/1,,"['AMAZING', 'AWE', 'AWESOME (as in ""fantastic, wonderful"")', 'EXCELLENT', 'FABULOUS', 'FANTASTIC', 'GLORIOUS', 'GRAND', 'GREAT (as in ""awesome or wonderful"")', 'MAGNIFICENT (as in ""wonderful"")', 'MAJESTIC', 'MAJESTY (as in ""impressive stateliness, dignity, or beauty"")', 'MARVEL', 'MARVELOUS', 'MIRACLE (as in ""the work of the divine"")', 'OUTSTANDING', 'REMARKABLE', 'SPLENDID', 'STERLING (as in ""excellent"")', 'SUPER', 'SUPERB', 'TERRIFIC', 'TREMENDOUS (as in ""amazing or impressive"")', 'WONDER (as in ""awe"")', 'WONDERFUL']",
3338,stupendous,sign/stupendous/4615/1,,"['BIGGER', 'BIGGEST', 'COLOSSAL', 'ENORMOUS', 'EXTENSIVE', 'GIANT (as in ""gigantic or huge"")', 'GIGANTIC', 'GREAT (as in ""big or large"")', 'GROW BIG', 'HUGE', 'HUMONGOUS', 'IMMENSE', 'JUMBO', 'LARGER', 'LARGEST', 'MAGNITUDE (as in ""large"")', 'TREMENDOUS (as in ""great or very large"")', 'VAST']",
3339,stupid,sign/stupid/413/1,,"['DUMB', 'IDIOT', 'IGNORAMUS', 'IGNORANCE', 'IGNORANT', 'JERK', 'PINHEAD (as in ""stupid"")']",
3340,style,sign/style/4616/1,,['FASHION'],
3341,subdue,sign/subdue/4617/1,,"['BEAT (as in ""overcome"")', 'CONQUER', 'DEFEAT', 'OVERCOME', 'VANQUISH']",
3342,subject,sign/subject/4618/1,,"['IDIOM', 'PHRASE', 'QUOTE', 'THEME', 'TITLE', 'TOPIC']",
3343,subject,sign/subject/9325/1,,"['COURSE (as in ""class"")', 'EXERCISE (as in ""an activity or lesson- mental exercise"")', 'LESSON']",
3344,submarine,sign/submarine/2665/1,,"['SUBSTITUTE (as in ""a replacement player in sports"")', 'SUBSTITUTE TEACHER (as in ""temporary teacher"")']",
3345,submission,sign/submission/6489/1,,"['GIVE UP (as in ""surrender"")', 'QUIT (as in ""surrender or give up"")', 'RELINQUISH', 'RENOUNCE', 'SACRIFICE', 'SACRIFICE (as in ""offering to God"")', 'SUBMIT (as in ""give up"")', 'SURRENDER', 'YIELD']",
3346,submission,sign/submission/4619/1,,"['APPEAL', 'NOMINATE', 'NOMINATION', 'OBLATION (as in ""an offering to God"")', 'OFFER (as in ""a proposal or suggestion"")', 'PETITION (as in ""appeal"")', 'PRESENT (as in ""to give"")', 'PROPOSAL', 'PROPOSE', 'RECOMMEND', 'SUBMIT (as in ""to offer"")', 'SUGGEST']",
3347,submissive,sign/submissive/12242/1,,"['COW (as in ""to be intimidated"")', 'OBEDIENT (as in ""to follow"")', 'PASSIVE']",
3348,submit,sign/submit/6488/1,,"['GIVE UP (as in ""surrender"")', 'QUIT (as in ""surrender or give up"")', 'RELINQUISH', 'RENOUNCE', 'SACRIFICE', 'SACRIFICE (as in ""offering to God"")', 'SUBMISSION (as in ""give up"")', 'SURRENDER', 'YIELD']",
3349,submit,sign/submit/4620/1,,"['APPEAL', 'NOMINATE', 'NOMINATION', 'OBLATION (as in ""an offering to God"")', 'OFFER (as in ""a proposal or suggestion"")', 'PETITION (as in ""appeal"")', 'PRESENT (as in ""to give"")', 'PROPOSAL', 'PROPOSE', 'RECOMMEND', 'SUBMISSION (as in ""presenting an appeal"")', 'SUGGEST']",
3350,subscribe,sign/subscribe/4621/1,,"['ALIMONY (as in ""for a husband"")', 'ALIMONY (as in ""for a wife"")', 'MONTHLY INCOME', 'PENSION', 'SUBSCRIBER', 'SUBSCRIPTION', 'WELFARE']",
3351,subscriber,sign/subscriber/2666/1,,[],
3352,subscription,sign/subscription/10303/1,,"['ALIMONY (as in ""for a husband"")', 'ALIMONY (as in ""for a wife"")', 'MONTHLY INCOME', 'PENSION', 'SUBSCRIBE', 'SUBSCRIBER', 'WELFARE']",
3353,subsequently,sign/subsequently/5390/1,,"['AFTER A WHILE', 'AFTERWARD', 'LATER']",
3354,substance,sign/substance/2667/1,,[],
3355,substantial,sign/substantial/5229/1,,"['ADEQUATE', 'AMPLE', 'ENOUGH', 'SUFFICIENT']",
3356,substitute,sign/substitute/4622/1,,"['EXCHANGE (as in ""to trade or switch"")', 'GIFT EXCHANGE', 'REPLACE', 'ROTATE (as in ""to switch"")', 'SWITCH (as in ""to trade or replace things"")', 'TRADE']",
3357,substitute,sign/substitute/12101/1,,"['SUBMARINE', 'SUBSTITUTE TEACHER (as in ""temporary teacher"")']",
3358,substitute+teacher,sign/substitute+teacher/8581/1,,"['SUBMARINE', 'SUBSTITUTE (as in ""a replacement player in sports"")']",
3359,substitution,sign/substitution/6967/1,,"['EXCHANGE (as in ""to trade or switch"")', 'SWAP', 'TRADE', 'TRADE IN']",
3360,subtract,sign/subtract/4624/1,Did you subtract the last payment from the bill before writing the check?,"['DEDUCT (as in ""to take away or subtract"")', 'MINUS', 'TAKE AWAY (as in ""to subtract"")']",Synset('subtract.v.02')
3361,subtract,sign/subtract/8525/1,Please subtract the cost of the drinks from the bill.,"['LIABILITY (as in ""weakness"")', 'MINUS', 'NEGATIVE (as in ""subtract"")', 'SUBTRACT (as in ""deduct an amount"")']",Synset('subtract.v.02')
3362,subway,sign/subway/2669/1,,[],
3363,succeed,sign/succeed/4625/1,,"['ACCOMPLISH', 'ACCOMPLISHMENT', 'ACHIEVE', 'ACHIEVEMENT', 'PRODUCTIVE (as in ""successful"")', 'SUCCESS', 'SUCCESSFUL', 'TRIUMPH', 'TRIUMPHANT (as in ""the winner or victorious "")']",
3364,success,sign/success/4626/1,"To be successful, it helps to have good grammar.","['ACCOMPLISH', 'ACCOMPLISHMENT', 'ACHIEVE', 'ACHIEVEMENT', 'PRODUCTIVE (as in ""successful"")', 'SUCCEED', 'SUCCESSFUL', 'TRIUMPH', 'TRIUMPHANT (as in ""the winner or victorious "")']",Synset('success.n.02')
3365,success,sign/success/4626/1,"To be successful, it helps to have good grammar.","['ACCOMPLISH', 'ACCOMPLISHMENT', 'ACHIEVE', 'ACHIEVEMENT', 'PRODUCTIVE (as in ""successful"")', 'SUCCEED', 'SUCCESSFUL', 'TRIUMPH', 'TRIUMPHANT (as in ""the winner or victorious "")']",Synset('success.n.02')
3366,success,sign/success/4626/1,"My daughter took a chance when she quit her job and started her own company. Luckily, it has taken off and is successful.","['ACCOMPLISH', 'ACCOMPLISHMENT', 'ACHIEVE', 'ACHIEVEMENT', 'PRODUCTIVE (as in ""successful"")', 'SUCCEED', 'SUCCESSFUL', 'TRIUMPH', 'TRIUMPHANT (as in ""the winner or victorious "")']",Synset('success.n.02')
3367,successful,sign/successful/6527/1,"Robert Panera was the first deaf professor at the NTID (National Technical Institute for the Deaf). He was a successful author, historian, poet, and teacher.","['ACCOMPLISH', 'ACCOMPLISHMENT', 'ACHIEVE', 'ACHIEVEMENT', 'PRODUCTIVE (as in ""successful"")', 'SUCCEED', 'SUCCESS', 'TRIUMPH', 'TRIUMPHANT (as in ""the winner or victorious "")']",Synset('successful.a.01')
3368,succession,sign/succession/8002/1,,"['AFTER', 'AFTERWARD', 'BEYOND', 'FROM NOW ON', 'REST (as in ""from now on"")']",
3369,such,sign/such/7838/1,,"['ALIKE', 'IDENTICAL', 'SAME', 'SIMILAR', 'SUCH AS']",
3370,such+as,sign/such+as/4628/1,,"['ALIKE', 'IDENTICAL', 'SAME', 'SIMILAR', 'SUCH']",
3371,suck,sign/suck/9597/1,,"['THAT SUCKS (as in ""not that great"")']",
3372,suck,sign/suck/9573/1,,[],
3373,suck,sign/suck/2671/1,,"['SIP', 'STRAW (as in ""a drink straw"")']",
3374,suck+up,sign/suck+up/9943/1,,"['BROWN NOSE', 'SCHMOOZE', ""TEACHER'S PET""]",
3375,sucker,sign/sucker/9598/1,,"['FOOL (as in ""gullible"")', 'FOOLISH (as in ""gullible"")', 'GULLIBLE']",
3376,sucker,sign/sucker/9571/1,,"['LICK (as in ""to lick a popsicle"")', 'LOLLIPOP', 'PACIFIER', 'POPSICLE']",
3377,sucrose,sign/sucrose/4629/1,,[],
3378,sudden,sign/sudden/4630/1,,"['ABRUPT', 'ACCELERATE', 'FAST (as in ""quick"")', 'FASTER', 'FLASH (as in ""fast"")', 'IMMEDIATELY', 'NIMBLE', 'QUICK (as in ""fast"")', 'RAPID', 'RAPIDLY (as in ""fast"")', 'SPED (as in ""the verb to travel at great speed"")', 'SPEEDING', 'SPEEDY', 'SPONTANEOUS', 'SPONTANEOUSLY', 'STAT (as in ""quick"")', 'SUDDENLY', 'SWIFT', 'SWIFTLY']",
3379,suddenly,sign/suddenly/344/1,,"['ABRUPT', 'ACCELERATE', 'FAST (as in ""quick"")', 'FASTER', 'FLASH (as in ""fast"")', 'IMMEDIATELY', 'NIMBLE', 'QUICK (as in ""fast"")', 'RAPID', 'RAPIDLY (as in ""fast"")', 'SPED (as in ""the verb to travel at great speed"")', 'SPEEDING', 'SPEEDY', 'SPONTANEOUS', 'SPONTANEOUSLY', 'STAT (as in ""quick"")', 'SUDDEN', 'SWIFT', 'SWIFTLY']",
3380,sue,sign/sue/4631/1,,"['AGAINST (as in ""in opposition to"")', 'AGAINST (as in ""two opposing entities"")', 'OPPOSE (as in ""in opposition to"")', 'OPPOSE (as in ""two opposing entities"")', 'VERSUS (as in ""two opposing entities"")']",
3381,sue,sign/sue/13801/1,Sue's belt is brown.,[],Synset('sue.n.01')
3382,sue,sign/sue/13801/1,Sue's belt is brown.,[],Synset('sue.n.01')
3383,suede,sign/suede/10900/1,,[],
3384,suffer,sign/suffer/4632/1,,"['MISERABLE', 'ORDEAL', 'PASSION (as in ""suffering of Christ"")']",
3385,sufficient,sign/sufficient/4633/1,,"['ADEQUATE', 'AMPLE', 'ENOUGH', 'SUBSTANTIAL']",
3386,suffrage,sign/suffrage/14050/1,By the mid 1800's women started to demand suffrage.,[],Synset('right_to_vote.n.01')
3387,sugar,sign/sugar/702/1,Do you want to put sugar in your coffee?,"['BABE (as in ""an affectionate term"")', 'BABY (as in ""an affectionate term"")', 'BAE (as in ""an affectionate term"")', 'BEAU', 'CHARMING', 'GOOD NATURED', 'HEART OF GOLD', 'HONEY', 'SWEET (as in ""relating to a person"")', 'SWEET (as in ""tasting"")', 'SWEETHEART', 'SWEETIE']",Synset('sugar.v.01')
3388,sugar+glider,sign/sugar+glider/13929/1,My friend has a sugar glider.,[],
3389,suggest,sign/suggest/4634/1,,"['APPEAL', 'NOMINATE', 'NOMINATION', 'OBLATION (as in ""an offering to God"")', 'OFFER (as in ""a proposal or suggestion"")', 'PETITION (as in ""appeal"")', 'PRESENT (as in ""to give"")', 'PROPOSAL', 'PROPOSE', 'RECOMMEND', 'SUBMISSION (as in ""presenting an appeal"")', 'SUBMIT (as in ""to offer"")']",
3390,suicide,sign/suicide/2674/1,,[],
3391,suit,sign/suit/2676/1,I have 17 suits.,[],Synset('suit.v.02')
3392,suit,sign/suit/2676/1,Bryan's suit is blue.,[],Synset('suit.v.02')
3393,suit,sign/suit/2676/1,Bryan's suit is blue.,[],Synset('suit.v.02')
3394,suitable,sign/suitable/4635/1,,"['APPROPRIATE', 'CONSISTENT', 'PAR FOR THE COURSE', 'PROPER (as in ""appropriate"")', 'REGULAR']",
3395,suitcase,sign/suitcase/4636/1,,"['BAG (as in ""a bag you carry"")', 'BAGGAGE', 'LUGGAGE', 'POCKETBOOK', 'POUCH (as in ""a bag you carry"")', 'PURSE', 'SACK (as in ""a bag"")']",
3396,sukkot,sign/sukkot/12518/1,,"['FEAST OF THE TABERNACLES', 'LULAV']",
3397,sum,sign/sum/4637/1,,"['ADD (as in ""math addition"")', 'ADD TO (as in ""math addition"")', 'ADD UP', 'ADDITION (as in ""math"")', 'ADDITIONAL', 'AMOUNT (as in ""total"")', 'AUXILIARY', 'CUMULATIVE (as in ""to come to a total"")', 'EXTRA', 'PLUS', 'TOTAL']",
